C:\Users\LAB\Documents\My Experiments\raven\raven-25-32.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	BlockList	BlockList.Cycle	BlockList.Sample	Procedure[Block]	Running[Block]	Trial	Correct	Image	Image.ACC	Image.CRESP	Image.RESP	Image.RT	Image.RTTime	Procedure[Trial]	Running[Trial]	TrialList	TrialList.Cycle	TrialList.Sample
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	21	5	img\sB-9.png	0	5	1	166	22035	TrialProc	TrialList	21	1	21
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	22	3	img\sB-10.png	0	3	2	132	22201	TrialProc	TrialList	22	1	22
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	23	4	img\sB-11.png	0	4	6	154	22390	TrialProc	TrialList	23	1	23
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	24	5	img\sB-12.png	0	5	3	158	22577	TrialProc	TrialList	24	1	24
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	25	4	img\sAB-1.png	0	4	5	150	22752	TrialProc	TrialList	25	1	25
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	26	1	img\sAB-2.png	0	1	4	151	22937	TrialProc	TrialList	26	1	26
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	27	1	img\sAB-3.png	1	1	1	140	23109	TrialProc	TrialList	27	1	27
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	28	6	img\sAB-4.png	0	6	2	148	23284	TrialProc	TrialList	28	1	28
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	29	2	img\sAB-5.png	0	2	3	166	23485	TrialProc	TrialList	29	1	29
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	30	1	img\sAB-6.png	0	1	6	165	23684	TrialProc	TrialList	30	1	30
